,Dataset,Repetition,ADAPT,ADMIC-Basic,ADMIC
237,Vogtmann E(2016),37,0.718518518518519,0.677777777777778,0.844444444444444
238,Vogtmann E(2016),38,0.533333333333333,0.8,0.725925925925926
239,Vogtmann E(2016),39,0.674074074074074,0.811111111111111,0.592592592592593
240,Vogtmann E(2016),40,0.688888888888889,0.611111111111111,0.488888888888889
241,Vogtmann E(2016),41,0.644444444444444,0.740740740740741,0.696296296296296
242,Vogtmann E(2016),42,0.618518518518518,0.651851851851852,0.77037037037037
243,Vogtmann E(2016),43,0.562962962962963,0.711111111111111,0.874074074074074
244,Vogtmann E(2016),44,0.674074074074074,0.348148148148148,0.744444444444444
245,Vogtmann E(2016),45,0.485185185185185,0.559259259259259,0.525925925925926
246,Vogtmann E(2016),46,0.659259259259259,0.674074074074074,0.625925925925926
247,Vogtmann E(2016),47,0.648148148148148,0.777777777777778,0.888888888888889
248,Vogtmann E(2016),48,0.57037037037037,0.644444444444444,0.537037037037037
249,Vogtmann E(2016),49,0.659259259259259,0.466666666666667,0.707407407407407
250,Vogtmann E(2016),50,0.755555555555556,0.762962962962963,0.785185185185185
251,Vogtmann E(2016),51,0.592592592592593,0.781481481481481,0.544444444444444
252,Vogtmann E(2016),52,0.737037037037037,0.755555555555556,0.796296296296296
253,Vogtmann E(2016),53,0.755555555555556,0.6,0.785185185185185
254,Vogtmann E(2016),54,0.688888888888889,0.688888888888889,0.722222222222222
255,Vogtmann E(2016),55,0.574074074074074,0.696296296296296,0.662962962962963
256,Vogtmann E(2016),56,0.688888888888889,0.511111111111111,0.57037037037037
257,Vogtmann E(2016),57,0.474074074074074,0.666666666666667,0.748148148148148
258,Vogtmann E(2016),58,0.637037037037037,0.555555555555556,0.755555555555556
259,Vogtmann E(2016),59,0.662962962962963,0.622222222222222,0.8
260,Vogtmann E(2016),60,0.696296296296296,0.77037037037037,0.755555555555556
261,Vogtmann E(2016),61,0.585185185185185,0.496296296296296,0.688888888888889
262,Vogtmann E(2016),62,0.548148148148148,0.77037037037037,0.888888888888889
263,Vogtmann E(2016),63,0.574074074074074,0.588888888888889,0.814814814814815
264,Vogtmann E(2016),64,0.625925925925926,0.474074074074074,0.703703703703704
265,Vogtmann E(2016),65,0.762962962962963,0.759259259259259,0.444444444444444
266,Vogtmann E(2016),66,0.692592592592593,0.640740740740741,0.711111111111111
267,Vogtmann E(2016),67,0.625925925925926,0.711111111111111,0.637037037037037
268,Vogtmann E(2016),68,0.792592592592593,0.822222222222222,0.82962962962963
269,Vogtmann E(2016),69,0.562962962962963,0.525925925925926,0.72962962962963
270,Vogtmann E(2016),70,0.588888888888889,0.740740740740741,0.7
271,Vogtmann E(2016),71,0.592592592592593,0.72962962962963,0.844444444444444
272,Vogtmann E(2016),72,0.651851851851852,0.674074074074074,0.848148148148148
273,Vogtmann E(2016),73,0.881481481481481,0.644444444444444,0.633333333333333
274,Vogtmann E(2016),74,0.414814814814815,0.781481481481482,0.681481481481481
275,Vogtmann E(2016),75,0.585185185185185,0.5,0.785185185185185
276,Vogtmann E(2016),76,0.692592592592593,0.477777777777778,0.651851851851852
277,Vogtmann E(2016),77,0.496296296296296,0.533333333333333,0.714814814814815
278,Vogtmann E(2016),78,0.62962962962963,0.648148148148148,0.785185185185185
279,Vogtmann E(2016),79,0.740740740740741,0.762962962962963,0.807407407407407
280,Vogtmann E(2016),80,0.659259259259259,0.633333333333333,0.77037037037037
281,Vogtmann E(2016),81,0.481481481481481,0.681481481481481,0.733333333333333
